airport_2,,inbound_ap,Year,quarter,inbound_passengers,nsmiles,fare,large_ms,fare_lg,lf_ms,fare_low,cluster
SWF,11164,SWF,2005,1,442,1101.3031674208146,170.15592760180996,0.561787330316742,168.3036877828054,0.34359728506787324,141.65303167420814,0
SWF,11165,SWF,2005,2,595,1068.8218487394959,181.03563025210084,0.6010084033613445,176.4974789915966,0.3985546218487395,153.19312605042018,0
SWF,11166,SWF,2005,3,514,1065.7568093385214,180.97883268482488,0.6028793774319063,178.62727626459144,0.3775097276264592,155.89762645914396,0
SWF,11167,SWF,2005,4,350,1099.4,200.9771714285714,0.6940857142857142,198.94782857142857,0.4591714285714286,174.9012857142857,0
SWF,11168,SWF,2006,1,313,1154.3162939297124,201.93910543130988,0.7050479233226837,193.7582747603834,0.5440255591054313,178.46421725239617,0
SWF,11169,SWF,2006,2,367,1164.1771117166213,218.98915531335146,0.7026430517711172,212.94435967302454,0.46539509536784746,192.51844686648502,0
SWF,11170,SWF,2006,3,337,1174.480712166172,220.53026706231452,0.7036201780415431,217.19747774480712,0.3145697329376854,199.896646884273,0
SWF,11171,SWF,2006,4,360,1133.4833333333333,209.97788888888888,0.6901944444444444,207.7434722222222,0.43555555555555553,184.2258611111111,0
SWF,11172,SWF,2007,1,952,1123.4978991596638,144.02356092436975,0.7588340336134455,142.82132352941176,0.3397794117647059,126.66254201680671,0
SWF,11173,SWF,2007,2,1209,1077.7005789909015,148.38437551695617,0.7285856079404466,146.54783291976838,0.3669727047146402,131.84926385442515,0
SWF,11174,SWF,2007,3,1249,1070.056845476381,147.8400320256205,0.7129623698959168,140.55640512409929,0.33881505204163326,125.30497998398718,0
SWF,11175,SWF,2007,4,1097,1052.8113035551505,149.62756608933455,0.692105742935278,144.9731449407475,0.6383865086599817,137.56152233363719,0
SWF,11176,SWF,2008,1,967,1102.971044467425,154.62182006204756,0.734715615305067,149.87202688728024,0.2423474663908997,135.1090589451913,0
SWF,11177,SWF,2008,2,1042,1044.7159309021113,174.4649520153551,0.6528023032629557,166.5026487523992,0.29930902111324376,151.55236084452972,0
SWF,11178,SWF,2008,3,858,1026.100233100233,179.59895104895108,0.6204079254079254,171.344662004662,0.36706293706293713,155.4153613053613,0
SWF,11179,SWF,2008,4,559,1044.87656529517,190.22146690518784,0.7773524150268337,188.634686940966,0.6813059033989267,175.92583184257603,0
SWF,11180,SWF,2009,1,522,1087.595785440613,174.04496168582375,0.7557662835249042,170.41090038314178,0.22900383141762454,146.26967432950192,0
SWF,11181,SWF,2009,2,593,1052.9005059021922,169.62630691399664,0.7495952782462059,167.19489038785832,0.28694772344013486,153.41072512647557,0
SWF,11182,SWF,2009,3,609,1067.4466338259442,168.0544170771757,0.7623809523809523,165.36727422003287,0.6710509031198686,152.77243021346473,0
SWF,11183,SWF,2009,4,580,1078.606896551724,173.61318965517242,0.7354827586206897,172.42458620689655,0.6653965517241379,160.21208620689654,0
SWF,11184,SWF,2010,1,519,1137.2003853564547,172.95807321772637,0.7633333333333333,173.97475915221582,0.24545279383429675,148.19389210019267,0
SWF,11185,SWF,2010,2,563,1107.1936056838365,183.4430373001776,0.7980461811722912,181.0984014209592,0.7384191829484902,174.44463587921848,0
SWF,11186,SWF,2010,3,570,1131.5035087719298,191.67440350877195,0.8039824561403508,187.59898245614036,0.7382456140350877,181.67245614035087,0
SWF,11187,SWF,2010,4,556,1100.8273381294964,188.7784712230216,0.7827338129496403,185.8451079136691,0.682589928057554,179.7579856115108,0
SWF,11188,SWF,2011,1,516,1137.6763565891472,194.82651162790697,0.8285465116279068,191.7990503875969,0.28625968992248063,182.58430232558143,0
SWF,11189,SWF,2011,2,588,1113.4166666666667,208.18352040816328,0.8033333333333335,204.47794217687076,0.7591326530612247,201.52210884353738,0
SWF,11190,SWF,2011,3,602,1115.1179401993356,201.2159634551495,0.807425249169435,196.8282059800664,0.7504983388704319,191.54822259136213,0
SWF,11191,SWF,2011,4,550,1109.770909090909,203.10999999999999,0.7951272727272726,198.36374545454544,0.7547272727272727,195.63749090909087,0
SWF,11192,SWF,2012,1,492,1116.2581300813008,210.60882113821143,0.7886788617886178,205.64869918699182,0.4013821138211382,196.65097560975607,0
SWF,11193,SWF,2012,2,536,1112.1958955223881,219.55307835820895,0.8194029850746268,214.16927238805968,0.7732276119402984,211.9643656716418,0
SWF,11194,SWF,2012,3,505,1139.6178217821782,218.24237623762374,0.79609900990099,212.62635643564357,0.7283762376237622,207.060099009901,0
SWF,11195,SWF,2012,4,431,1140.9721577726218,219.78872389791184,0.758491879350348,216.9149419953596,0.6994663573085846,207.36800464037125,0
SWF,11196,SWF,2013,1,379,1134.754617414248,224.1543799472296,0.7691292875989446,224.2068865435356,0.28052770448548814,199.9436147757256,0
SWF,11197,SWF,2013,2,431,1090.412993039443,221.31443155452436,0.8044547563805104,220.84389791183295,0.6809512761020882,210.10663573085847,0
SWF,11198,SWF,2013,3,458,1102.9934497816594,235.74565502183407,0.7683624454148471,233.1840829694323,0.7278384279475982,223.14303493449785,0
SWF,11199,SWF,2013,4,466,1097.9442060085837,224.91714592274678,0.7808798283261801,224.05862660944206,0.6624034334763949,216.76394849785407,0
SWF,11200,SWF,2014,1,393,1119.1984732824428,225.41557251908392,0.7647582697201019,222.3687786259542,0.27320610687022906,195.36356234096698,0
SWF,11201,SWF,2014,2,431,1071.6287703016242,241.39023201856145,0.7700232018561486,241.90721577726217,0.2834106728538283,221.96470997679813,0
SWF,11202,SWF,2014,3,414,1072.7995169082126,245.7097826086957,0.769927536231884,243.1364009661836,0.27956521739130435,232.97437198067632,0
SWF,11203,SWF,2014,4,384,1083.0182291666667,241.7628125,0.7863281250000002,242.12994791666668,0.6607031250000001,226.0638541666667,0
SWF,11204,SWF,2015,1,327,1137.045871559633,236.9643425076452,0.8021406727828746,233.63749235474003,0.745474006116208,225.7917125382263,0
SWF,11205,SWF,2015,2,363,1079.9779614325068,243.53190082644625,0.7676584022038566,242.40504132231405,0.6594214876033059,230.42831955922867,0
SWF,11206,SWF,2015,3,357,1106.4621848739496,240.35532212885155,0.7742296918767506,239.09918767507008,0.6817086834733893,227.26305322128852,0
SWF,11207,SWF,2015,4,322,1076.0124223602484,225.94760869565218,0.8161801242236025,226.7654347826087,0.23677018633540375,194.34239130434784,0
SWF,11208,SWF,2016,1,304,1077.7763157894738,214.46930921052635,0.8079796052631579,214.33174342105258,0.28724572368421053,192.50894736842102,0
SWF,11209,SWF,2016,2,327,1044.440366972477,214.73232415902146,0.833671865443425,209.97758409785934,0.7698969418960245,199.90675840978594,0
SWF,11210,SWF,2016,3,395,1009.6632911392405,202.51605063291137,0.8353653164556961,200.75567088607596,0.7914703797468353,192.8615696202532,0
SWF,11211,SWF,2016,4,339,1050.843657817109,220.77094395280233,0.8270044247787611,220.8016519174042,0.7276029498525072,209.4373451327434,0
SWF,11212,SWF,2017,1,309,1058.009708737864,208.8090938511327,0.821027508090615,205.67514563106798,0.7401216828478965,197.16106796116506,0
SWF,11213,SWF,2017,2,397,1012.8539042821159,211.20327455919394,0.8143073047858942,209.5258942065491,0.761169017632242,197.21637279596976,0
SWF,11214,SWF,2017,3,456,949.1732456140351,187.31035087719295,0.8619201754385964,185.43837719298247,0.8179725877192984,176.92969298245615,0
SWF,11215,SWF,2017,4,388,1007.2164948453608,215.31118556701028,0.8473878865979383,210.61951030927833,0.7904755154639175,204.3948969072165,0
SWF,11216,SWF,2018,1,296,1033.3412162162163,209.49425675675676,0.8474641891891893,206.4920945945946,0.3886777027027027,192.57648648648652,0
SWF,11217,SWF,2018,2,415,994.9349397590362,217.2493975903614,0.8260486746987952,214.13946987951806,0.7780159036144578,206.54402409638556,0
SWF,11218,SWF,2018,3,477,926.1530398322851,200.29337526205452,0.8631364779874214,198.6546960167715,0.8058461215932914,190.9104821802935,0
SWF,11219,SWF,2018,4,430,1004.4558139534884,220.91565116279065,0.8305593023255812,220.84413953488368,0.7644500000000001,210.62813953488367,0
SWF,11220,SWF,2019,1,298,1056.0939597315437,216.02775167785236,0.842155033557047,212.56587248322145,0.6755684563758388,201.42620805369125,0
SWF,11221,SWF,2019,2,434,995.7004608294931,212.81688940092167,0.8361101382488477,211.2035023041475,0.7820117511520738,201.46453917050692,0
SWF,11222,SWF,2019,3,504,968.8412698412699,207.1916865079365,0.8655988095238095,204.34452380952382,0.6851259920634921,195.14029761904763,0
SWF,11223,SWF,2019,4,371,1043.8194070080863,239.5254177897574,0.8481032345013477,233.845795148248,0.6720940700808625,225.52207547169812,0
SWF,11232,SWF,2022,1,40,1139.0,105.68924999999999,0.9943474999999999,105.84850000000002,0.9943474999999999,105.84850000000002,0
SWF,11233,SWF,2022,2,133,885.2105263157895,89.65248120300751,0.9975458646616541,89.62436090225563,0.9975458646616541,89.62436090225563,0
SWF,11234,SWF,2022,3,193,687.2383419689119,84.86259067357513,0.9897865284974092,84.75886010362694,0.9897865284974092,84.75886010362694,0
SWF,11235,SWF,2022,4,134,808.6641791044776,93.94529850746268,0.9942776119402986,93.87567164179104,0.9942776119402986,93.87567164179104,0
SWF,11236,SWF,2023,1,110,921.0363636363636,107.70454545454545,1.0,107.70454545454545,1.0,107.70454545454545,0
SWF,11237,SWF,2023,2,131,728.1450381679389,111.84061068702287,1.0,111.84061068702287,1.0,111.84061068702287,0
SWF,11238,SWF,2023,3,122,601.0,104.73,1.0,104.73,1.0,104.73,0
SWF,11239,SWF,2023,4,72,601.0,111.86,1.0,111.86,1.0,111.86,0
SYR,11246,SYR,1996,1,1152,799.4487847222222,180.27641493055555,0.5655989583333333,224.21205729166664,0.3277430555555555,144.42518229166663,0
SYR,11247,SYR,1996,2,995,702.9989949748743,165.75454271356784,0.6260201005025126,151.02337688442208,0.4309949748743719,139.20293467336685,0
SYR,11248,SYR,1996,3,1003,1094.444666001994,205.49785643070788,0.587876370887338,209.5815353938185,0.4234097706879361,181.29130608175473,0
SYR,11249,SYR,1996,4,818,659.8997555012224,170.33541564792176,0.6196210268948655,183.3878850855746,0.609841075794621,156.88682151589242,0
SYR,11250,SYR,1997,1,1100,805.6672727272727,174.19965454545456,0.6032727272727272,149.5199090909091,0.5184727272727273,142.84113636363637,0
SYR,11251,SYR,1997,2,998,473.39078156312627,155.55865731462927,0.7831062124248497,156.60587174348697,0.7670240480961924,150.4073346693387,0
SYR,11252,SYR,1997,3,943,642.1134676564157,182.8000318133616,0.7309756097560975,187.11939554612934,0.701474019088017,169.73085896076353,0
SYR,11253,SYR,1997,4,952,463.15966386554624,167.40538865546222,0.7681827731092438,169.69498949579832,0.602531512605042,153.22447478991594,0
SYR,11254,SYR,1998,1,820,530.8939024390244,181.61515853658537,0.731109756097561,182.0053902439024,0.5706707317073171,173.10653658536583,0
SYR,11255,SYR,1998,2,755,333.0079470198676,169.65392052980133,0.8371258278145697,171.61091390728478,0.7828079470198676,164.1789801324503,0
SYR,11256,SYR,1998,3,890,707.6797752808989,190.38593258426968,0.7175842696629213,189.86069662921344,0.6396404494382022,173.15391011235957,0
SYR,11257,SYR,1998,4,902,510.79046563192907,168.19931263858092,0.7437583148558758,170.89001108647452,0.5552660753880266,152.04493348115298,0
SYR,11258,SYR,1999,1,684,648.9298245614035,177.7813888888889,0.691374269005848,173.33970760233922,0.6899707602339181,172.49988304093569,0
SYR,11259,SYR,1999,2,735,582.8299319727892,187.31968707482994,0.6970612244897958,186.7559455782313,0.6641360544217687,178.90134693877553,0
SYR,11260,SYR,1999,3,689,842.7155297532656,209.44156748911465,0.6429462989840348,213.69869375907112,0.35264150943396233,185.57702467343975,0
SYR,11261,SYR,1999,4,537,376.86033519553075,185.46878957169457,0.7770204841713222,189.64333333333335,0.7099068901303538,181.16728119180632,0
SYR,11262,SYR,2000,1,651,546.099846390169,175.52026113671275,0.7065898617511521,174.44460829493087,0.6132411674347159,170.64887864823345,0
SYR,11263,SYR,2000,2,973,505.8335046248715,190.54737923946558,0.69344295991778,192.80140801644404,0.6065056526207604,183.60767728674205,0
SYR,11264,SYR,2000,3,746,359.0348525469169,189.83690348525468,0.723538873994638,198.44541554959784,0.6075871313672923,181.74991957104558,0
SYR,11265,SYR,2000,4,999,512.4104104104105,169.09100100100102,0.6688188188188188,168.27548548548552,0.35523523523523526,156.33839839839843,0
SYR,11266,SYR,2001,1,523,699.5239005736138,176.84151051625238,0.6737667304015297,174.89948374760993,0.26760994263862337,168.85309751434033,0
SYR,11267,SYR,2001,2,915,519.6010928961749,156.73098360655737,0.6788087431693989,158.3223169398907,0.5915191256830601,147.6305136612022,0
SYR,11268,SYR,2001,3,707,326.009900990099,130.89991513437056,0.7304950495049506,134.16468175388965,0.705035360678925,124.39857142857144,0
SYR,11269,SYR,2001,4,704,557.2414772727273,140.68828125000002,0.71015625,138.7757528409091,0.669247159090909,136.99876420454547,0
SYR,11270,SYR,2002,1,637,623.436420722135,123.67869701726842,0.7770015698587126,120.51729984301416,0.7148351648351647,117.82577708006282,0
SYR,11271,SYR,2002,2,864,530.5590277777778,133.09038194444443,0.7445023148148148,130.82305555555556,0.7432870370370371,129.7707986111111,0
SYR,11272,SYR,2002,3,996,775.2048192771084,151.6309939759036,0.7192269076305221,144.57753012048192,0.6648795180722891,137.3527309236948,0
SYR,11273,SYR,2002,4,705,575.7021276595744,135.45089361702128,0.7218723404255319,132.49605673758865,0.6864964539007092,129.91214184397163,0
SYR,11274,SYR,2003,1,688,606.6947674418604,129.86364825581393,0.7451598837209303,127.73287790697674,0.7296802325581395,123.61627906976744,0
SYR,11275,SYR,2003,2,850,521.3705882352941,138.57931764705884,0.7421882352941177,134.85002352941177,0.7240470588235294,134.5688705882353,0
